"Pathway","Genes","Category"
"Glycolysis / Gluconeogenesis","HK3,HK1,HK2,HKDC1,GCK,GPI,PFKM,PFKP,PFKL,FBP1,FBP2,ALDOC,ALDOA,ALDOB,TPI1,GAPDH,GAPDHS,PGK2,PGK1,PGAM1,PGAM2,PGAM4,ENO3,ENO2,ENO1,ENO4,PKM,PKLR,PDHA2,PDHA1,PDHB,DLAT,DLD,LDHAL6A,LDHAL6B,LDHA,LDHB,LDHC,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,AKR1A1,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ALDH3B1,ALDH3B2,ALDH3A1,ACSS1,ACSS2,GALM,PGM1,PGM2,G6PC1,G6PC2,G6PC3,ADPGK,BPGM,MINPP1,PCK1,PCK2,CS,ACLY,ACO2,ACO1,IDH1,IDH2,IDH3B,IDH3G,IDH3A,OGDHL,OGDH,DLST,DLD,SUCLG1,SUCLG2,SUCLA2,SDHA,SDHB,SDHC,SDHD,FH,MDH1,MDH2,PC,PCK1,PCK2,PDHA2,PDHA1,PDHB,DLAT,GPI,G6PD,PGLS,H6PD,PGD,RPE,RPEL1,TKT,TKTL2,TKTL1,TALDO1,RPIA,SHPK,DERA,RBKS,PGM1,PGM2,PRPS1L1,PRPS2,PRPS1,RGN,IDNK,GLYCTK,ALDOC,ALDOA,ALDOB,FBP1,FBP2,PFKM,PFKP,PFKL,GUSB,KL,UGT2A1,UGT2A3,UGT2B17,UGT2B11","KEGG"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","ECI2,CYP2U1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,FDFT1,SQLE,LSS,CYP51A1,TM7SF2,LBR,MSMO1,NSDHL,HSD17B7,EBP,DHCR24,SC5D,DHCR7,LIPA,CEL,SOAT2,SOAT1,CYP2R1,CYP27B1,CYP24A1,CYP46A1,CYP39A1,HSD3B7,CH25H,CYP7B1,CYP7A1,CYP27A1,CYP8B1","KEGG"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin","SRD5A2,SRD5A3,AKR1C2,AKR1C3,CYP11B1,CYP11B2,AKR1D1,AKR1C4,HSD11B1,HSD11B1L,HSD11B2,AKR1C1,CYP7B1,SULT1E1,HSD17B1,HSD17B2,HSD17B6,HSD17B7,HSD17B8,HSD17B12,DHRS11,CYP1A1,CYP1A2,CYP3A5,CYP3A7,CYP3A7_CYP3A51P,CYP2E1,CYP3A4,CYP1B1,CYP19A1,CYP7A1,HSD17B11,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15","KEGG"
"Glycosaminoglycan biosynthesis - keratan sulfate","AKR1D1,AKR1C4,SLC27A5,AMACR,ACOX2,HSD17B4,SCP2,ACOT8,BAAT,TAT,COQ2,COQ6,COQ3,COQ5,COQ7,NQO1,GGCX,VKORC1,VKORC1L1,HPD,CYP11A1,CYP17A1,STS,SULT2B1,CYP21A2,HSD3B1,HSD3B2,SRD5A1","KEGG"
"Glycosaminoglycan degradation","HACD4,HACD3,TECR,ACOT4,ACOT2,ACOT1,ACOT7,THEM4,THEM5,ACAT2,ACAT1,ACAA1,ACAA2,HADHB,HADH,HADHA,EHHADH,ECHS1,ACOX3,ACOX1,ACADS,ACADM,ACADL,ACADSB,ACADVL,GCDH,ACSL6,ACSL4,ACSL1,ACSL5,ACSL3,ACSBG1,ACSBG2,CPT1A,CPT1B,CPT1C,CPT2,ECI1","KEGG"
"Glycosphingolipid biosynthesis - ganglio series","ALG9,ALG12,STT3A,STT3B,RPN1,RPN2,DAD1,DDOST,MAGT1,TUSC3,OSTC,TMEM258,MAN1B1,MAN1A2,MAN1C1,MAN1A1,MGAT1,MAN2A1,MAN2A2,MGAT2,HEXA,HEXB,FUT8,HEXD,MGAT4C,MGAT4A,MGAT4B,MGAT4D,B4GALT1,B4GALT2","KEGG"
"Glycosphingolipid biosynthesis - globo and isoglobo series","GALNTL5,GALNT10,GALNT2,GALNT3,GALNT1,GALNT6,GALNT4,GALNT9,GALNT7,GALNT8,POC1B_GALNT4,C1GALT1,C1GALT1C1,C1GALT1C1L,GCNT1,GCNT3,GCNT4,ST3GAL1,ST3GAL2,ST6GALNAC1,ST6GALNAC2,ST6GALNAC3,ST6GALNAC4,B3GNT3,B3GNT6,B4GALT5,ALG13,ALG14,ALG1,ALG2,ALG11,ALG3","KEGG"
"Glycosphingolipid biosynthesis - lacto and neolacto series","MAGT1,TUSC3,OSTC,TMEM258,DOLPP1,MOGS,GANAB,MAN1B1,MAN1A2,MAN1C1,MAN1A1,MGAT1,MAN2A1,MAN2A2,MGAT2,FUT8,B4GALT1,B4GALT2,B4GALT3,ST6GAL1,ST6GAL2,MGAT3,MGAT4A,MGAT4B,MGAT4D,MGAT5,MGAT5B,MGAT4C,NEU1,NEU3,NEU4,NEU2,GLB1,HEXA,HEXB,HEXD,MAN2C1,MAN2B1,MAN2B2,MANBA,ENGASE,FUCA1,FUCA2,AGA,GBA1,GBA2,GALNTL6,GALNT5,GALNT17,GALNT11,GALNT12,GALNT13,GALNT14,GALNT16,GALNT15,GALNT18","KEGG"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","ENTPD2,NTPCR,ENPP1,ENPP3,PDE4A,PDE4B,PDE4C,PDE4D,PDE7A,PDE7B,PDE8B,PDE8A,FHIT,ENPP4,PAPSS2,PAPSS1,URAD,ALLC,CYP1A2,NAT2,NAT1,CYP2A6,CYP2A7,XDH,CAD,DHODH,UMPS,CMPK1,CMPK2,NME6,NME7,NME2,NME4,NME1,NME3,NME1_NME2,AK9,ENTPD3,ENTPD8,ENTPD1,CANT1,ENTPD4,ENTPD5,ENTPD6,ENPP1,ENPP3,ASMTL,NUDT2,CTPS1,CTPS2,UCK1,UCK2","KEGG"
"Glyoxylate and dicarboxylate metabolism","UAP1L1,GNE,RENBP,NANS,NANP,NPL,CMAS,CYB5R1,CYB5R3,CYB5R2,CYB5RL,CYB5R4,UXS1,GCK,PGM1,PGM2,UGP2,UGDH,GALK1,GALT,GALE,GPI,MPI,PMM2,PMM1,GMPPB,GMPPA,GMDS,GFUS,FCSK,FPGT,HK3,HK1,HK2,HKDC1,GCK,HYAL2,HYAL1,SPAM1,HYAL4,HYAL3,GUSB,IDS,IDUA,ARSB,HPSE,HPSE2,SGSH,HGSNAT,NAGLU,GALNS,GLB1,GNS,HEXA,HEXB,XYLT1,XYLT2,B4GALT7,B3GALT6,B3GAT3","KEGG"
"Histidine metabolism","SPHK1,SPHK2,SGPL1,UGCG,GBA1,GBA2,B4GALT6,B4GALT5,GLB1,UGT8,GALC,GAL3ST1,ARSA,NEU1,NEU3,NEU4,NEU2,GLA,B4GALNT1,HEXA,HEXB,GM2A,PSAP,PSAPL1,B3GNT5,B3GALT1,B3GALT2,B3GALT5,FUT1,FUT2,FUT3,ST3GAL3,ST3GAL4,B4GALNT2,ABO,B4GALT1,B4GALT2,B4GALT3,B4GALT4,FUT9,FUT4,FUT5,FUT6,FUT7","KEGG"
"Inositol phosphate metabolism","ATP6V0A1,ATP6V0C,ATP6V0B,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6AP1,ATP4A,ATP4B,ATP12A,PPA2,PPA1,LHPP,OTC,ASS1,ASL,ARG2,ARG1,NOS1,NOS2,NOS3,GLS2,GLS,GLUL,GLUD2,GLUD1,CPS1,GOT1,GOT1L1,GOT2,GPT2,GPT,NAGS,ACY1,ABHD14A_ACY1,NUDT9,ADPRM,NUDT5,PGM1,PGM2,PRPS1L1,PRPS2,PRPS1,PPAT,GART,PFAS,PAICS,ADSL,ATIC,APRT,NT5C2,NT5C1A,NT5C1B,NT5C,NT5M,NT5C1B_RDH14,NT5DC4,NT5E,PNP,LACC1,HPRT1,IMPDH1,IMPDH2,NME6,NME7,NME2,NME4,NME1,NME3,NME1_NME2,AK9,ENTPD3,ENTPD8,ENTPD1,CANT1,ENTPD4,ENTPD5,ENTPD6,NUDT16,ITPA,XDH,NUDT2,GMPS,GMPR,GMPR2,GDA,GUK1,RRM1,RRM2B,RRM2,HDDC2,DGUOK,DCK,HDDC3,PRUNE1,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCY10,GUCY1A2,GUCY1A1,GUCY1B1,GUCY2C,GUCY2D,GUCY2F,NPR1,NPR2,PDE1A,PDE1B,PDE1C,PDE2A,PDE3A,PDE3B,PDE5A,PDE6A,PDE6B,PDE6C,PDE6D,PDE6G,PDE6H,PDE9A,PDE10A,PDE11A,ADSS1,ADSS2,AMPD2,AMPD3,AMPD1,ADK,ADA,ADA2,AK7,AK4,AK5,AK2,AK1,AK8,AK6,AK3","KEGG"
"Linoleic acid metabolism","TPH2,TPH1,DDC,MAOB,MAOA,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,AOX1,ASMT,AANAT,CYP1A1,CYP1A2,CYP1B1,INMT,IL4I1,AOC1,CAT,GOT1,GOT1L1,GOT2,TAT,IL4I1,PAH,GADL1,CSAD,GAD1,GAD2,CNDP1,CARNS1,CNDP2,ABAT,SMOX,AOC3,AOC2,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ALDH3B1,ALDH3B2,ALDH3A1,DPYD,DPYS,UPB1,HIBCH,HADHA,EHHADH,ECHS1,ACADS,ACOX3,ACOX1,MLYCD,ALDH6A1,CDO1,GAD1,GAD2","KEGG"
"Lipoic acid metabolism","PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,LPCAT4,ENPP6,ENPP2,GDPD3,GDPD1,TMEM86B,PLD1,PLD2,PLD3,PLD4,UGT8,GAL3ST1,LPCAT2,LPCAT1,PAFAH1B1,PAFAH1B2,PAFAH1B3,PLA2G7,PAFAH2,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G5,PLA2G2A,PLA2G2C","KEGG"
"Lysine degradation","LYPLA2,PNPLA6,PNPLA7,GPCPD1,CHAT,ACHE,CHKA,CHKB,PHOSPHO1,PCYT1B,PCYT1A,SELENOI,ETNK1,ETNK2,PCYT2,ETNPPL,PEMT,CDS1,CDS2,PLA1A,PTDSS1,PTDSS2,PISD,PGS1,CRLS1,TAFAZZIN,LPGAT1,CDIPT,MBOAT7,AGPS,PLPP1,PLPP3,PLPP2,SELENOI,CHPT1,CEPT1,PEDS1,PEDS1_UBE2V1,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G5,PLA2G2A,PLA2G2C,PLA2G4E,PLA2G4A,JMJD7_PLA2G4B,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,LPCAT4,ENPP6,ENPP2,GDPD3,GDPD1,TMEM86B,PLD1,PLD2,PLD3,PLD4,UGT8,GAL3ST1,LPCAT2,LPCAT1,PAFAH1B1,PAFAH1B2,PAFAH1B3,PLA2G7,PAFAH2,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G5,PLA2G2A,PLA2G2C,PLA2G4E,PLA2G4A,JMJD7_PLA2G4B,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,PTGS1,PTGS2,PTGES,PTGES2,PTGES3,CBR1,CBR3,PRXL2B,HPGD,TBXAS1,PTGDS,HPGDS,AKR1C3,PTGIS,ALOX5,LTA4H,PTGR3,PTGR2,PTGR1,CYP4F2,CYP4F3,LTC4S,GGT1,GGT5,GPX4","KEGG"
"Mannose type O-glycan biosynthesis","UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,UGDH,UGP2,AKR1A1,CRYL1,RPE,RPEL1,XYLB,AKR1B1,AKR1B10,AKR1B15,DCXR,SORD,DHDH,FGGY,CRPPA,MPI,PMM2,PMM1,GMPPB,GMPPA,GMDS,GFUS,FPGT,FCSK,ENOSF1,HK3,HK1,HK2,HKDC1,PFKM,PFKP,PFKL,FBP1,FBP2,PFKFB1,PFKFB2,PFKFB3,PFKFB4,TIGAR","KEGG"
"Metabolism of xenobiotics by cytochrome P450","MOCS2,GPHN,MOCOS,BCO1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,DHRS3,DHRS4,DHRS4L2,DHRS9,RDH8,RDH10,RDH11,RDH12,RDH13,RDH16,SDR16C5,HSD17B6,LRAT,DGAT1,AWAT2,PNPLA4,RPE65,RDH5,AOX1,ALDH1A2,ALDH1A1,ALDH1A3,CYP26A1,CYP26B1,CYP26C1,CYP1A1,CYP1A2,CYP2A6,CYP2A7,CYP2B6,CYP2C8,CYP2C9,CYP2C18,CYP2S1,CYP3A4,CYP3A5,CYP3A7,CYP3A7_CYP3A51P,CYP2W1,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,RETSAT,CYP27C1,ALAS1,ALAS2,EARS2,EPRS1,ALAD,HMBS,UROS,UROD,CPOX,PPOX,FECH,COX10,COX15,MMAB,HMOX1,HMOX2,BLVRA,BLVRB,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,GUSB,HCCS,CP,HEPH,HEPHL1,FXN,ACAT2,ACAT1,HMGCS1,HMGCS2,HMGCR,MVK,PMVK,MVD,IDI1,IDI2,FDPS,GGPS1,PDSS1,PDSS2,DHDDS,NUS1,FNTA,FNTB,CHURC1_FNTB,RCE1,ZMPSTE24,ICMT,PCYOX1,GLUD2,GLUD1,GLUL,CPS1,CA13,CA1,CA6,CA7,CA12,CA5B,CA14,CA9,CA3,CA5A,CA8,CA2,CA4,PAPSS2,PAPSS1","KEGG"
"Mucin type O-glycan biosynthesis","ALDH3A1,MAOB,MAOA,AOX1,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,CYP1A2,CYP2E1,CYP2C8,CYP2A6,CYP2A7,HPRT1,IMPDH1,IMPDH2,GMPS,TPMT,XDH,ITPA,CES1,CES2,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,GUSB,CYP3A4,CDA,TYMP,DPYD,DPYS,UPB1,CYP2A6,CYP2A7,UPP2,UPP1,UCK1,UCK2,UCKL1,TK2,TK1","KEGG"
"N-Glycan biosynthesis","MTFMT,VARS2,VARS1,LARS1,LARS2,IARS1,IARS2,KARS1,RARS2,RARS1,PARS2,HARS1,HARS2,FARSA,FARS2,FARSB,YARS1,YARS2,WARS2,WARS1,CYP1A1,CYP2C9,CYP3A4,CYP1B1,GSTA5,GSTA2,GSTA4,GSTO2,GSTM4,GSTT2,GSTT1,GSTM3,MGST1,MGST3,GSTM1,GSTM5,MGST2,GSTA1,GSTM2,GSTA3,GSTO1,GSTT2B,GSTP1,GSTK1,HPGDS,EPHX1,CYP2B6,SULT2A1,CYP1A2,CYP2A6,CYP2A7,CYP2E1,CYP2F1,CYP2S1,AKR1C1,DHDH,CYP2A13,CYP2D6,cytochromeP4502D6_like[KO:K17712][EC:1.14.14.1],CYP2D7,CYP2D6,HSD11B1,HSD11B1L,CBR1,CBR3,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,CYP3A5,AKR7A2,AKR7A3,AKR7L,ALDH3B1,ALDH3B2,ALDH3A1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,CYP2D6,cytochromeP4502D6_like[KO:K17712][EC:1.14.14.1],CYP2D7,CYP2D6,CYP2C9,CYP3A4,FMO1,FMO2","KEGG"
"Neomycin, kanamycin and gentamicin biosynthesis","ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,HSD17B12,HACD2,HACD1","KEGG"
"Nicotinate and nicotinamide metabolism","GPD1L,GPD1,GPD2,GPAM,GPAT2,GPAT4,GPAT3,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,LCLAT1,MBOAT1,MBOAT2,GNPAT,ADPRM,PLPP1,PLPP3,PLPP2,LPIN1,LPIN3,LPIN2,PLPP5,PLPP4,DGKZ,DGKD,DGKI,DGKA,DGKE,DGKB,DGKH,DGKG,DGKQ,DGKK,CHPT1,CEPT1,PLD1,PLD2,PLD3,PLD4,LCAT,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G5,PLA2G2A,PLA2G2C,PLA2G4E,PLA2G4A,JMJD7_PLA2G4B,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4F,PLA2G6,PLB1,PLAAT3,PLAAT2,LPCAT2,LPCAT1,LPCAT4,LPCAT3,LYPLA1,PLA2G15,LYPLA2,PNPLA6,PNPLA7,GPCPD1","KEGG"
"Nitrogen metabolism","ALDH6A1,LDHAL6A,LDHAL6B,LDHA,LDHB,LDHC,ACAT2,ACAT1,HADH,HADHA,EHHADH,ECHS1,ACADS,ACSM1,ACSM2A,ACSM4,ACSM5,ACSM3,ACSM2B,ACSM6,L2HGDH,GAD1,GAD2,ABAT,ALDH5A1,HMGCS1,HMGCS2,HMGCL,HMGCLL1,OXCT1,OXCT2,AACS,BDH1,DHFR","KEGG"
"One carbon pool by folate","MTM1,MTMR1,MTMR2,MTMR3,MTMR4,MTMR8,MTMR6,MTMR7,MTMR14,PI4KA,PI4KB,PI4K2A,PI4K2B,SACM1L,INPP5F,PIP5K1C,PIP5K1A,PIP5K1B,PIP5KL1,OCRL,INPP5B,INPP5E,SYNJ1,SYNJ2,PIK3CA,PIK3CD,PIK3CB,PIK3CG,PTEN,INPP5D,INPPL1,PIK3C2G,PIK3C2A,PIK3C2B,INPP4A,INPP4B,PIKFYVE,FIG4,PIP4K2C,PIP4K2A","KEGG"
"Other glycan degradation","FMO5,FMO3,FMO4,CYP2C19,CYP2B6,CYP3A5,GSTA5,GSTA2,GSTA4,GSTO2,GSTM4,GSTT2,GSTT1,GSTM3,MGST1,MGST3,GSTM1,GSTM5,MGST2,GSTA1,GSTM2,GSTA3,GSTO1,GSTT2B,GSTP1,GSTK1,HPGDS,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,ALDH3B1,ALDH3B2","KEGG"
"Other types of O-glycan biosynthesis","ALDH1B1,ALDH7A1,ALDH9A1,ALDH3B1,ALDH3B2,ALDH3A1,ACSS1,ACSS2,GALM,PGM1,PGM2,G6PC1,G6PC2,G6PC3,ADPGK,BPGM,MINPP1,PCK1,PCK2,CS,ACLY,ACO2,ACO1,IDH1,IDH2,IDH3B,IDH3G,IDH3A,OGDHL,OGDH,DLST,DLD,SUCLG1,SUCLG2,SUCLA2,SDHA,SDHB,SDHC,SDHD,FH,MDH1,MDH2,PC,PCK1,PCK2,PDHA2,PDHA1,PDHB,DLAT,GPI,G6PD,PGLS,H6PD,PGD,RPE,RPEL1,TKT,TKTL2,TKTL1,TALDO1,RPIA,SHPK,DERA,RBKS,PGM1,PGM2,PRPS1L1,PRPS2,PRPS1,RGN,IDNK,GLYCTK,ALDOC,ALDOA,ALDOB,FBP1,FBP2,PFKM,PFKP,PFKL,GUSB,KL,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7","KEGG"
"Oxidative phosphorylation","GCLM,GSS,CDO1,GOT1,GOT1L1,GOT2,MPST,TST,LDHAL6A,LDHAL6B,LDHA,LDHB,LDHC,MDH1,MDH2,SDS,SDSL,PHGDH,PSAT1,BCAT2,BCAT1,IL4I1,BCKDHA,BCKDHB,DBT,DLD,ACADS,ACADM,IVD,ACADSB,ACAD8,HADHA,EHHADH,ECHS1,HADH,HSD17B10,ACAA1,ACAA2,HADHB,PCCA,PCCB,MCEE,MMUT,HIBCH,HIBADH,ALDH6A1,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,AOX1,ACSF3,ABAT,AGXT2,MCCC1,MCCC2,AUH,HMGCL,HMGCLL1,OXCT1,OXCT2,AACS,ACAT2,ACAT1,HMGCS1,HMGCS2,SDS,SDSL,BCAT2,BCAT1,AASS,ALDH7A1,AADAT,DHTKD1,DLST,DLD,GCDH,HADHA,EHHADH,ECHS1,HADH,ACAT2,ACAT1,HYKK,PHYKPL,PIPOX,CAMKMT,KMT2A,KMT2D,KMT2C,KMT2B,KMT2E,SETD1B,SETD1A,SETD7,PRDM9,PRDM7,ASH1L,SMYD2,SMYD3,SMYD1,SUV39H1,SUV39H2,EHMT2,EHMT1,SETDB1,SETDB2,PRDM2,EZH1,EZH2,SETMAR,NSD1,NSD2,NSD3,SETD2,DOT1L,KMT5A,PRDM6,KMT5C,KMT5B,MECOM,PRDM16,TMLHE,ALDH2,ALDH3A2,ALDH1B1,ALDH9A1,BBOX1,PLOD1,PLOD2,PLOD3,COLGALT1,COLGALT2,GATM,GAMT,CKM,CKMT1A,CKMT2,CKB,CKMT1B,AZIN2,ODC1,SRM,SMS,AMD1,AOC1,SMOX,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,CNDP1,CNDP2,CARNS1,SAT2,SAT1,MAOB,MAOA,AGMAT,NOS1,NOS2,NOS3,ARG2,ARG1,OAT,PYCR3,PYCR2,PYCR1,PRODH,ALDH4A1,ALDH18A1,LAP3,P4HA2,P4HA3,P4HA1,PRODH2,GOT1,GOT1L1,GOT2,HOGA1,DAO,L3HYPDH,HAL,UROC1,AMDHD1,FTCD,HDC,AOC1,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ASPA,HNMT,MAOB,MAOA,ALDH3B1,ALDH3B2,ALDH3A1,CARNS1,CARNMT1,CNDP2,CNDP1,GOT1,GOT1L1,GOT2,TAT,IL4I1,HPD,HGD,GSTZ1,FAH,TYR,TH,DCT,TYRP1,DDC,DBH,PNMT,COMT,LRTOMT,MAOB,MAOA,AOC3,AOC2,ALDH3B1,ALDH3B2,ALDH3A1,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH5,ADH6,TPO,AOX1,FAHD1,MIF,PAH,DDC,AOC3,AOC2,MAOB,MAOA,ALDH3B1,ALDH3B2,ALDH3A1,GOT1,GOT1L1,GOT2,TAT,IL4I1,HPD,MIF,TDO2,IDO1,IDO2,AFMID,KMO,KYNU,HAAO,ACMSD,ALDH8A1,DHTKD1","KEGG"
"Pantothenate and CoA biosynthesis","CHAT,ACHE,CHKA,CHKB,PHOSPHO1,PCYT1B,PCYT1A,SELENOI,ETNK1,ETNK2,PCYT2,ETNPPL,PEMT,CDS1,CDS2,PLA1A,PTDSS1,PTDSS2,PISD,PGS1,CRLS1,TAFAZZIN,LPGAT1,CDIPT,MBOAT7,AGPS,PLPP1,PLPP3,PLPP2,SELENOI,CHPT1,CEPT1,PEDS1,PEDS1_UBE2V1,PLA2G10,PLA2G2D,PLA2G2E,PLA2G3,PLA2G2F,PLA2G12A,PLA2G12B,PLA2G1B","KEGG"
"Pentose and glucuronate interconversions","ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ACACA,ACACB,ACSF3,MCAT,FASN,OXSM,CBR4,HSD17B8,HTD2,MECR,OLAH,ACSL6,ACSL4,ACSL1,ACSL5,ACSL3,ACSBG1,ACSBG2,ACAA2,HADHB,HADH,HADHA,ECHS1,MECR,PPT1,PPT2,ELOVL1,ELOVL2,ELOVL3,ELOVL4,ELOVL5,ELOVL6,ELOVL7,HSD17B12,HACD2,HACD1,HACD4,HACD3,TECR,ACOT4,ACOT2,ACOT1,ACOT7,THEM4,THEM5,ACAT2,ACAT1,ACAA1,ACAA2,HADHB,HADH,HADHA,EHHADH,ECHS1,ACOX3,ACOX1,ACADS,ACADM,ACADL,ACADSB,ACADVL,GCDH,ACSL6,ACSL4,ACSL1,ACSL5,ACSL3,ACSBG1","KEGG"
"Pentose phosphate pathway","ALDOA,ALDOB,TPI1,TKFC,GALM,GALK1,GALT,GALE,UGP2,PGM1,PGM2,HK3,HK1,HK2,HKDC1,GCK,G6PC1,G6PC2,G6PC3,GLB1,LCT,LALBA,B4GALT1,B4GALT2,GLA,AKR1B1,AKR1B10,AKR1B15,PFKM,PFKP,PFKL,MGAM,MGAM2,GAA,GANC,SI,UGDH,UGT2A1,UGT2A3,UGT2B17,UGT2B11,UGT2B28,UGT1A6,UGT1A4,UGT1A1,UGT1A3,UGT2B10,UGT1A9,UGT2B7,UGT1A10,UGT1A8,UGT1A5,UGT2B15,UGT1A7,UGT2B4,UGT2A2,GUSB,KL,MIOX,AKR1A1,RGN,ALDH2","KEGG"
"Phenylalanine metabolism","GLO1,HAGH,GRHPR,ME2,ME3,ME1,PC,MDH1,MDH2,FH,PCK1,PCK2,ACAT2,ACAT1,ACSS1,ACSS2,MDH1,MDH2,CS,ACO2,ACO1,ACAT2,ACAT1,MCEE,PCCA,PCCB,MMUT,HAO2,HAO1,CAT,GRHPR,PGP","KEGG"
"Phenylalanine, tyrosine and tryptophan biosynthesis","MTR,TYMS,ALDH1L1,ALDH1L2,MTHFR,MTHFS,ST20_MTHFS,NFS1,NTPCR,ALPL,ALPI,ALPP","KEGG"
"Phosphonate and phosphinate metabolism","OGDHL,OGDH,DLST,DHTKD1,BCKDHA,BCKDHB,DBT,GLDC,AMT,GCSH,GCH1,ALPL","KEGG"
"Porphyrin metabolism","GBGT1,A4GALT,GLA,B3GALT5,HEXA,HEXB,NAGA,FUT1,FUT2,ABO,ST3GAL1,ST3GAL2,ST8SIA1,FUT9,B4GALNT1,B3GALT4,ST3GAL2,ST3GAL1,ST8SIA5,ST3GAL5,ST8SIA1,SLC33A1,ST6GALNAC3,ST6GALNAC4,ST6GALNAC5,ST6GALNAC6,GLB1,HEXA,HEXB,ACSS1,ACSS2,PDHA2,PDHA1,PDHB,DLAT,DLD,ADH1A,ADH1B,ADH1C,ADH7,ADH4,ADH6,ADH5,AKR1A1,PKM,PKLR,ACACA,ACACB,ACYP2,ACYP1,ALDH2,ALDH3A2,ALDH1B1,ALDH7A1,ALDH9A1,ACOT12,LDHAL6A,LDHAL6B,LDHA,LDHB,LDHC,LDHD,GLO1,HAGH,GRHPR,ME2,ME3,ME1,PC,MDH1,MDH2,FH,PCK1,PCK2,ACAT2,ACAT1,ACSS1,ACSS2,MDH1,MDH2,CS,ACO2,ACO1,ACAT2,ACAT1,MCEE","KEGG"
